record,annotator,fs,window_start_s,window_seconds,lead,tolerance_ms,n_ref_p,n_ref_r,n_ref_t,n_ref_qrs_onset,n_ref_qrs_offset,n_pred_p,n_pred_r,n_pred_t,unmapped_rate,p_matched,p_false_positive,p_missing,p_coverage,p_mae_ms,p_median_ae_ms,p_std_ms,p_mae_samples,p_unavailable_rate,r_matched,r_false_positive,r_missing,r_coverage,r_mae_ms,r_median_ae_ms,r_std_ms,r_mae_samples,r_unavailable_rate,t_matched,t_false_positive,t_missing,t_coverage,t_mae_ms,t_median_ae_ms,t_std_ms,t_mae_samples,t_unavailable_rate,q_vs_qrs_onset_approx_matched,q_vs_qrs_onset_approx_coverage,q_vs_qrs_onset_approx_mae_ms,q_vs_qrs_onset_approx_median_ae_ms,s_vs_qrs_offset_approx_matched,s_vs_qrs_offset_approx_coverage,s_vs_qrs_offset_approx_mae_ms,s_vs_qrs_offset_approx_median_ae_ms,overall_mae_ms,overall_median_ae_ms,overall_std_ms
sel39,q1c,250.0,600.364,26.064,0,150.0,30,30,30,30,30,33,34,34,0.0,30,3,0,1.0,2.6666666666666665,2.0,3.8087618285561864,0.6666666666666666,0.0,30,4,0,1.0,20.133333333333333,16.0,20.659783800094974,5.033333333333333,0.0,30,4,0,1.0,7.866666666666666,6.0,10.536708320069518,1.9666666666666666,0.0,30,1.0,29.333333333333332,16.0,30,1.0,38.93333333333333,40.0,10.222222222222221,8.0,11.77735848310249
sel40,q1c,250.0,600.536,26.32,0,150.0,30,30,30,30,30,30,30,30,0.0,13,17,17,0.43333333333333335,74.46153846153847,108.0,65.49294193870803,18.615384615384617,0.0,30,0,0,1.0,12.533333333333333,12.0,1.9955506062794355,3.1333333333333333,0.0,30,0,0,1.0,57.2,54.0,24.574241256513567,14.3,0.0,30,1.0,70.66666666666667,70.0,30,1.0,70.8,68.0,41.917808219178085,20.0,39.074832815760814
sel41,q1c,250.0,600.38,20.712,0,150.0,30,30,30,30,30,30,31,31,0.0,30,0,0,1.0,10.8,4.0,12.93058390019569,2.7,0.0,30,1,0,1.0,8.266666666666667,8.0,2.048305532764962,2.066666666666667,0.0,30,1,0,1.0,24.0,20.0,20.623180054384328,6.0,0.0,30,1.0,44.13333333333333,44.0,30,1.0,50.8,50.0,14.355555555555556,8.0,15.247813038896293
sel42,q1c,250.0,600.02,22.564,0,150.0,30,30,30,30,30,30,31,31,0.0,28,2,2,0.9333333333333333,75.0,92.0,74.65334854498887,18.75,0.0,28,3,2,0.9333333333333333,30.285714285714285,32.0,2.249716535431946,7.571428571428571,0.0,23,8,7,0.7666666666666667,130.95652173913044,132.0,9.525609695742018,32.73913043478261,0.0,28,0.9333333333333333,25.285714285714285,24.0,28,0.9333333333333333,5.571428571428571,4.0,75.44303797468355,88.0,45.66796701216153
sel43,q1c,250.0,600.452,19.7,0,150.0,30,30,30,30,30,32,32,31,0.0,30,2,0,1.0,4.533333333333333,4.0,6.953815898882826,1.1333333333333333,0.0,30,2,0,1.0,3.3333333333333335,4.0,1.4907119849998596,0.8333333333333334,0.0,29,2,1,0.9666666666666667,41.93103448275862,44.0,51.59985067588934,10.482758620689655,0.0,30,1.0,71.33333333333333,70.0,30,1.0,34.93333333333333,34.0,16.314606741573034,4.0,25.434469889368895
sel44,q1c,250.0,600.212,25.164,0,150.0,22,30,30,30,30,37,37,37,0.0,22,15,0,1.0,10.363636363636363,8.0,12.80108466478686,2.590909090909091,0.2666666666666667,30,7,0,1.0,10.4,12.0,1.9595917942265426,2.6,0.0,22,15,8,0.7333333333333333,20.0,16.0,25.8923390820624,5.0,0.0,30,1.0,38.93333333333333,32.0,30,1.0,18.8,10.0,13.243243243243244,12.0,12.283597952984396
sel45,q1c,250.0,600.42,28.056,0,150.0,30,30,30,30,30,30,30,30,0.09090909090909091,30,0,0,1.0,6.0,4.0,5.607930891950158,1.5,0.0,30,0,0,1.0,11.733333333333333,12.0,2.048305532764962,2.933333333333333,0.0,30,0,0,1.0,54.53333333333333,20.0,55.19114260660149,13.633333333333333,0.0,30,1.0,19.6,20.0,30,1.0,29.466666666666665,28.0,24.08888888888889,12.0,37.90504054562443
sel46,q1c,250.0,601.204,64.5,0,150.0,29,30,30,30,30,62,63,63,0.0,29,33,0,1.0,62.06896551724138,64.0,16.496459462318402,15.517241379310345,0.033333333333333326,30,33,0,1.0,20.8,20.0,7.110555533852471,5.2,0.0,29,34,1,0.9666666666666667,79.86206896551724,80.0,13.26578211149748,19.96551724137931,0.0,30,1.0,26.666666666666668,28.0,30,1.0,28.0,28.0,53.86363636363637,64.0,27.973681550774334
sel47,q1c,250.0,601.052,31.584,0,150.0,30,30,30,30,30,30,31,31,0.08333333333333333,30,0,0,1.0,37.2,44.0,19.39026101480385,9.3,0.0,30,1,0,1.0,12.0,12.0,3.0983866769659336,3.0,0.0,9,22,21,0.3,136.44444444444446,136.0,7.875575620741933,34.111111111111114,0.0,30,1.0,6.533333333333333,6.0,30,1.0,39.2,40.0,39.18840579710145,16.0,41.11252686924581
sel48,q1c,250.0,600.04,19.616,0,150.0,30,30,30,30,30,31,32,32,0.0,30,1,0,1.0,5.6,4.0,7.370813312578801,1.4,0.0,30,2,0,1.0,4.4,4.0,1.2000000000000002,1.1,0.0,30,2,0,1.0,14.8,12.0,15.844241856270687,3.7,0.0,30,1.0,20.666666666666668,20.0,30,1.0,7.333333333333333,6.0,8.266666666666667,4.0,9.592589732589305
